District,Year,Season,Crop,Area,Production,Productivity
NAGPUR,2001,Whole Year ,Sugarcane,900,52400,58.22222222
NAGPUR,2002,Kharif     ,Jowar,46500,43700,0.939784946
NAGPUR,2002,Kharif     ,Soyabean,206900,222900,1.077332044
NAGPUR,2002,Rabi       ,Jowar,6000,2700,0.45
NAGPUR,2002,Whole Year ,Sugarcane,1300,49000,37.69230769
NAGPUR,2003,Kharif     ,Jowar,44600,42800,0.959641256
NAGPUR,2003,Kharif     ,Soyabean,218500,277500,1.270022883
NAGPUR,2003,Rabi       ,Jowar,8100,3000,0.37037037
NAGPUR,2003,Whole Year ,Sugarcane,900,52900,58.77777778
NAGPUR,2004,Kharif     ,Jowar,40500,29400,0.725925926
NAGPUR,2004,Rabi       ,Jowar,4800,2200,0.458333333
NAGPUR,2004,Rabi       ,Soyabean,234800,172100,0.732964225
NAGPUR,2004,Whole Year ,Sugarcane,400,29600,74
NAGPUR,2005,Kharif     ,Soyabean,244800,257500,1.051879085
NAGPUR,2006,Kharif     ,Jowar,33000,34400,1.042424242
NAGPUR,2006,Kharif     ,Soyabean,263500,346600,1.315370019
NAGPUR,2006,Rabi       ,Jowar,4100,2200,0.536585366
NAGPUR,2007,Kharif     ,Jowar,221,218,0.986425339
NAGPUR,2007,Kharif     ,Soyabean,2775,3792,1.366486486
NAGPUR,2007,Rabi       ,Jowar,33,14,0.424242424
NAGPUR,2007,Whole Year ,Sugarcane,3,229,76.33333333
NAGPUR,2008,Kharif     ,Jowar,17200,14400,0.837209302
NAGPUR,2008,Kharif     ,Soyabean,303200,257200,0.84828496
NAGPUR,2008,Kharif     ,Sugarcane,200,11500,57.5
NAGPUR,2008,Rabi       ,Jowar,2200,800,0.363636364
NAGPUR,2008,Whole Year ,Sugarcane,200,11500,57.5
NAGPUR,2009,Kharif     ,Jowar,12300,9200,0.74796748
NAGPUR,2009,Kharif     ,Soyabean,285100,219800,0.770957559
NAGPUR,2009,Kharif     ,Sugarcane,200,14100,70.5
NAGPUR,2009,Rabi       ,Jowar,3300,1700,0.515151515
